2025-11-26 11:06:43,890 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,896 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,897 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,898 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,899 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,901 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,902 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,903 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,904 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,905 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,906 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,907 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,908 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,909 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,910 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,911 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,913 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,914 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,915 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,916 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,917 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,918 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,919 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,920 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,921 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,922 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,923 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,924 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,926 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,927 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
2025-11-26 11:06:43,928 - linien_server.acquisition - DEBUG - Data requested: no_data_available=True, data_not_changed=False, pause_event=False
